,event_date,event_name,num_flooded,WDF2,WSF2,AWDR,AWND,WGF6,ht,hht,lt,llt,r15_td,rhr_td,td_av,gw_av,r15mx,rhrmx,rd,r3d
525,2012-01-16,,0.0,205.0,19.55,197.2640692640693,5.9757864357864365,6.909610389610392,0.65,0.8045,-1.529,-1.9145,-1.38,-1.38,-0.5000125,2.0962496031746,0.00125,0.0012499999999992949,0.0008333333333333334,-2.811697633979075e-16
526,2012-01-17,,0.0,225.0,34.0,222.77916666666664,16.005124999999996,17.59829166666667,-0.34925,0.6559999999999999,-1.86,-2.4965,-2.0462999999999996,-2.0462999999999996,-1.0498166666666666,2.1559789682539683,0.007500000000000001,0.007499999999999295,0.006666666666666667,0.0008333333333330524
527,2012-01-18,,0.0,15.0,24.9,222.33958333333334,13.635888888888891,13.980041666666658,0.7529999999999999,0.36250000000000004,-1.5190000000000001,-1.5305,0.0036250000000000032,-0.28804166666666664,-0.515604166666667,2.1643779761904764,0.0225,0.03249999999999929,0.030833333333333334,0.0074999999999997196
528,2012-01-19,,0.0,35.0,21.45,94.68125,6.984444444444445,7.192833333333333,0.8515,1.5465,-1.404,-1.558,,,-0.026947916666666648,2.094696825396823,0.0,-7.032135290740982e-16,0.0,0.03833333333333306
529,2012-01-20,,0.0,130.0,19.9,97.75208333333333,8.359875,8.172291666666668,1.524,1.0895,-0.9974999999999999,-1.798,-0.6420104166666666,-0.7387499999999999,0.1194104166666668,2.0546063492063533,0.01875,0.0537499999999993,0.055833333333333346,0.03749999999999972
530,2012-01-21,,0.0,15.0,24.45,234.64166666666665,9.606652777777779,10.78866666666666,1.9535,1.6139999999999999,-1.2025000000000001,-1.2025000000000001,0.6937812499999999,0.4035,0.41811875000000004,2.144195039682531,0.048749999999999995,0.1399999999999993,0.33416666666666667,0.08666666666666638
531,2012-01-22,,0.0,10.0,22.45,20.778242677824267,11.378912133891212,11.31380753138076,2.039,2.7035,-0.5855,-0.5855,0.6341354166666666,0.6341354166666666,0.9789833333333333,2.293388492063482,0.01,0.009999999999999298,0.010833333333333334,0.38999999999999985
532,2012-01-23,,0.0,195.0,15.0,202.41041666666666,6.035555555555555,6.889291666666664,1.921,2.4,-1.012,-0.9435,-0.4445,-0.4445,0.6071354166666667,2.324154563492056,0.00125,0.002499999999999297,0.0008333333333333334,0.4008333333333331
533,2012-01-24,,0.0,115.0,14.55,244.53648068669528,4.985636623748213,6.759356223175963,1.6435,2.1985,-1.296,-1.3355,-0.7591354166666666,-0.8393125,0.30522708333333326,2.3096488095238,0.01,0.0149999999999993,0.016666666666666666,0.34583333333333305
534,2012-01-25,,0.0,40.0,15.55,73.02380952380952,5.116796536796538,5.942467532467536,1.337,1.867,-1.5805,-1.5805,-0.25652777777777785,-0.25652777777777785,0.017245833333333356,2.2439646825396795,0.00375,0.0037499999999992977,0.0025,0.028333333333333058
535,2012-01-26,,0.0,205.0,14.55,182.79148936170213,4.813531914893616,6.126297872340428,1.48775,1.48775,-1.5585,-1.55,,,-0.06430416666666675,2.265433531746036,0.0,-7.02563007770607e-16,0.0,0.01999999999999972
536,2012-01-27,,0.0,230.0,24.05,232.57708333333335,10.860277777777776,13.507916666666668,1.3975,1.3975,-1.3365,-1.1795,0.71003125,1.0247604166666664,0.0980229166666667,2.3999609126984054,0.125,0.2562499999999993,0.3466666666666667,0.019166666666666384
537,2012-01-28,,0.0,265.0,16.45,214.57563025210084,5.629999999999999,6.884243697478992,1.0924999999999998,1.624,-0.8395,-1.5305,,,-0.054889583333333256,2.4262363095238024,0.0,-7.140555507989532e-16,0.0,0.3491666666666664
538,2012-01-29,,0.0,355.0,14.55,264.76680672268907,6.272829131652663,6.768193277310929,0.554,1.0995,-1.137,-1.737,,,-0.47534583333333336,2.3762009920634872,0.0,-7.140555507989532e-16,0.0,0.34666666666666646
539,2012-01-30,,0.0,245.0,13.55,233.64853556485355,5.494686192468618,6.934853556485361,-0.04100000000000001,-0.0115,-1.7685,-1.7685,,,-0.9463541666666667,2.3269025793650795,0.0,-7.140555507989532e-16,0.0,0.34666666666666646
540,2012-01-31,,0.0,215.0,20.55,219.91458333333333,10.899125,11.041374999999995,-0.35950000000000004,-0.1365,-1.94825,-1.94825,,,-1.149464583333334,2.3008799603174586,0.0,-7.140555507989532e-16,0.0,-2.914335439641036e-16
541,2012-02-01,,0.0,230.0,21.45,235.22916666666666,9.897569444444445,10.955124999999995,-0.2165,0.0325,-1.7505,-1.524,-1.41425,-1.3195520833333334,-0.8508854166666668,2.2950519925106145,0.02625,0.0524999999999993,0.05666666666666668,-2.914335439641036e-16
542,2012-02-02,,0.0,355.0,18.55,245.6186440677966,5.970480225988701,7.177330508474575,0.6395,0.7595000000000001,-0.8579999999999999,-0.522,-0.35690625,-0.2788541666666666,-0.02698333333333331,2.3933662698412754,0.03375,0.05999999999999928,0.19333333333333333,0.056666666666666386
543,2012-02-03,,0.0,360.0,21.45,46.60625,7.165833333333333,7.919458333333332,1.0365,1.768,-0.2415,-0.9450000000000001,0.35625,0.35625,0.5210625,2.361671031746024,0.00125,0.0012499999999992805,0.0008333333333333334,0.24999999999999975
544,2012-02-04,,0.0,125.0,16.55,224.76458333333335,5.7072222222222235,6.422125000000002,1.222,1.2650000000000001,-0.7414999999999999,-0.7414999999999999,1.159166666666667,1.2075624999999999,0.27206041666666647,2.3963547619047674,0.035,0.09999999999999928,0.26500000000000007,0.2508333333333331
545,2012-02-05,,0.0,185.0,22.45,29.377083333333335,10.20572222222222,9.064625000000008,1.875,1.9655,-0.4495,-0.671,1.0963020833333332,1.6965,0.7536687499999994,2.6393541666666773,0.0275,0.08249999999999928,0.22416666666666665,0.45916666666666633
546,2012-02-06,,0.0,200.0,11.1,260.26875,3.285902777777777,3.0737916666666667,1.4060000000000001,1.8900000000000001,-0.782,-1.0715,0.07966666666666666,0.07966666666666666,0.3695041666666671,2.635485317460319,0.0025,0.0024999999999992736,0.0016666666666666668,0.4899999999999997
547,2012-02-07,,0.0,25.0,15.55,253.58260869565217,4.6952463768115935,5.278391304347827,1.168,1.5915,-1.4529999999999998,-1.596,-1.5955,-1.5955,-0.0676291666666667,2.614955357142864,0.00125,0.001249999999999274,0.0008333333333333334,0.490833333333333
