Datetime,WDF2-19,WDF2-20,WSF2-19,WSF2-20,AWDR-19,AWND-19,AWND-20,WGF6-18,AWND-18,AWDR-18,AWND-3,AWDR-3,ht-17,ht-18,hht-17,hht-18,lt-17,lt-18,llt-17,llt-18,r15-1_td-17,r15-1_td-18,r15-2_td-17,r15-2_td-18,r15-7_td-17,r15-7_td-18,r15-11_td-17,r15-11_td-18,r15-12_td-17,r15-12_td-18,r15-13_td-17,r15-13_td-18,r15-14_td-17,r15-14_td-18,r15-15_td-17,r15-15_td-18,r15-16_td-17,r15-16_td-18,r15-21_td-17,r15-21_td-18,rhr-1_td-17,rhr-1_td-18,rhr-2_td-17,rhr-2_td-18,rhr-7_td-17,rhr-7_td-18,rhr-11_td-17,rhr-11_td-18,rhr-12_td-17,rhr-12_td-18,rhr-13_td-17,rhr-13_td-18,rhr-14_td-17,rhr-14_td-18,rhr-15_td-17,rhr-15_td-18,rhr-16_td-17,rhr-16_td-18,rhr-21_td-17,rhr-21_td-18,td_av-17,td_av-18,gw_av-4,gw_av-5,gw_av-6,gw_av-8,gw_av-9,gw_av-10,gw_av-11,r15mx-1,r15mx-2,r15mx-7,r15mx-11,r15mx-12,r15mx-13,r15mx-14,r15mx-15,r15mx-16,r15mx-21,rhrmx-1,rhrmx-2,rhrmx-7,rhrmx-11,rhrmx-12,rhrmx-13,rhrmx-14,rhrmx-15,rhrmx-16,rhrmx-21,rd-19,rd-20,rd-1,rd-2,rd-7,rd-11,rd-12,rd-13,rd-14,rd-15,rd-16,rd-21,r3d-19,r3d-20,r3d-1,r3d-2,r3d-7,r3d-11,r3d-12,r3d-13,r3d-14,r3d-15,r3d-16,r3d-21
2010-09-15,140.0,110.0,13.0,15.0,119.0,5.1,5.6,,,,,,1.463,1.631,1.837,1.9880000000000002,-0.469,-0.6990000000000001,-0.486,-0.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6429874999999996,0.6176666666666663,-2.1126430555555467,1.1324388888888919,5.5755347222222165,3.251568055555553,-0.08848888888888867,0.8529055555555655,1.465062499999999,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.5681900222830336e-15,-7.320533068622126e-16,3.642919299551295e-16,-3.2959746043559335e-16,-9.766493169749424e-16,-7.632783294297951e-17,-1.0408340855860843e-16,-9.124645483638005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25999999999999984,0.22000000000000014,0.0,0.0,0.2199999999999987,0.23999999999999977,0.25999999999999984,0.21999999999999972,0.3100000000000004,0.23999999999999894,0.35999999999999843,0.23999999999999996
2010-09-16,220.0,200.0,25.9,19.9,210.0,15.2,9.6,,,,,,1.155,1.286,1.421,1.483,-0.741,-0.9840000000000001,-1.043,-1.2930000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3413333333333332,0.29465416666666666,-2.137349999999995,1.111887500000004,5.530148611111108,3.2793305555555547,-0.1297583333333332,0.8521666666666765,1.463584722222224,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.5681900222830336e-15,-7.320533068622126e-16,3.642919299551295e-16,-3.2959746043559335e-16,-9.766493169749424e-16,-7.632783294297951e-17,-1.0408340855860843e-16,-9.124645483638005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,1.3877787807814457e-16,0.0,0.0,0.009999999999998649,-3.0531133177191805e-16,-2.220446049250313e-16,-3.608224830031759e-16,3.3306690738754696e-16,-1.1102230246251565e-15,-1.5543122344752192e-15,-5.551115123125783e-17
2010-09-17,220.0,200.0,21.0,16.1,41.0,11.0,9.4,,,,,,0.8234999999999999,0.9495,,,,,-1.0859999999999999,-1.2570000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.022316666666666648,-0.04439583333333353,-2.1338111111111053,1.0800194444444444,5.518054166666687,3.251779166666655,-0.1503666666666666,0.8533500000000109,1.4164972222222227,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.5681900222830336e-15,-7.320533068622126e-16,3.642919299551295e-16,-3.2959746043559335e-16,-9.766493169749424e-16,-7.632783294297951e-17,-1.0408340855860843e-16,-9.124645483638005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,1.3877787807814457e-16,0.0,0.0,-1.3513495877859327e-15,-3.0531133177191805e-16,-2.220446049250313e-16,-3.608224830031759e-16,3.3306690738754696e-16,-1.1102230246251565e-15,-1.5543122344752192e-15,-5.551115123125783e-17
2010-09-18,30.0,30.0,16.1,18.1,37.0,8.5,9.4,,,,,,,,1.544,1.7275,-0.764,-0.909,-0.5770000000000001,-0.7809999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5157833333333338,0.5193708333333336,-2.142677777777774,1.0154361111111188,5.487791666666699,3.186009722222225,-0.1581652777777775,0.8527944444444543,1.370663888888885,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.5681900222830336e-15,-7.320533068622126e-16,3.642919299551295e-16,-3.2959746043559335e-16,-9.766493169749424e-16,-7.632783294297951e-17,-1.0408340855860843e-16,-9.124645483638005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,1.3877787807814457e-16,0.0,0.0,-1.3513495877859327e-15,-3.0531133177191805e-16,-2.220446049250313e-16,-3.608224830031759e-16,3.3306690738754696e-16,-1.1102230246251565e-15,-1.5543122344752192e-15,-5.551115123125783e-17
2010-09-19,40.0,10.0,10.1,12.1,58.0,4.3,4.7,,,,,,1.6340000000000001,1.821,1.932,2.103,-0.44,-0.5870000000000001,-0.341,-0.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7386124999999999,0.7202833333333332,-2.15441111111111,0.9946694444444423,5.4686819444444685,3.210424999999997,-0.18428749999999938,0.8526513888888985,1.3720361111111088,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.5681900222830336e-15,-7.320533068622126e-16,3.642919299551295e-16,-3.2959746043559335e-16,-9.766493169749424e-16,-7.632783294297951e-17,-1.0408340855860843e-16,-9.124645483638005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,1.3877787807814457e-16,0.0,0.0,-1.3513495877859327e-15,-3.0531133177191805e-16,-2.220446049250313e-16,-3.608224830031759e-16,3.3306690738754696e-16,-1.1102230246251565e-15,-1.5543122344752192e-15,-5.551115123125783e-17
2010-09-20,20.0,10.0,21.9,23.0,29.0,9.4,11.0,,,,,,1.834,1.959,2.2640000000000002,2.451,-0.12449999999999999,-0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0322458333333335,1.0369333333333342,-2.164712499999998,0.9833430555555611,5.4559805555555725,3.2001152777777873,-0.20896944444444432,0.8534375000000103,1.3609638888889046,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.5681900222830336e-15,-7.320533068622126e-16,3.642919299551295e-16,-3.2959746043559335e-16,-9.766493169749424e-16,-7.632783294297951e-17,-1.0408340855860843e-16,-9.124645483638005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,1.3877787807814457e-16,0.0,0.0,-1.3513495877859327e-15,-3.0531133177191805e-16,-2.220446049250313e-16,-3.608224830031759e-16,3.3306690738754696e-16,-1.1102230246251565e-15,-1.5543122344752192e-15,-5.551115123125783e-17
2010-09-21,150.0,120.0,14.1,14.1,79.0,7.4,6.7,,,,,,1.995,2.142,1.916,2.0340000000000003,-0.41,-0.643,-0.125,-0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8560499999999995,0.8310666666666668,-2.175783333333322,0.9124138888888816,5.422638888888907,3.0979750000000226,-0.23661388888888818,0.8529833333333436,1.3255166666666764,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.5681900222830336e-15,-7.320533068622126e-16,3.642919299551295e-16,-3.2959746043559335e-16,-9.766493169749424e-16,-7.632783294297951e-17,-1.0408340855860843e-16,-9.124645483638005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,1.3877787807814457e-16,0.0,0.0,-1.3513495877859327e-15,-3.0531133177191805e-16,-2.220446049250313e-16,-3.608224830031759e-16,3.3306690738754696e-16,-1.1102230246251565e-15,-1.5543122344752192e-15,-5.551115123125783e-17
2010-09-22,220.0,220.0,21.0,15.0,209.0,11.4,8.5,,,,,,1.3519999999999999,1.4669999999999999,1.348,1.5219999999999998,-0.715,-0.955,-0.6859999999999999,-0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3086416666666664,0.27300833333333346,-2.206708333333324,0.8690888888888784,5.390570833333336,3.108851388888896,-0.2837333333333333,0.8525680555555659,1.3263083333333445,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.5681900222830336e-15,-7.320533068622126e-16,3.642919299551295e-16,-3.2959746043559335e-16,-9.766493169749424e-16,-7.632783294297951e-17,-1.0408340855860843e-16,-9.124645483638005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,1.3877787807814457e-16,0.0,0.0,-1.3513495877859327e-15,-3.0531133177191805e-16,-2.220446049250313e-16,-3.608224830031759e-16,3.3306690738754696e-16,-1.1102230246251565e-15,-1.5543122344752192e-15,-5.551115123125783e-17
2010-09-23,220.0,90.0,17.9,12.1,205.0,7.8,5.8,,,,,,1.212,1.414,,,-1.175,-1.4169999999999998,-1.4069999999999998,-1.6569999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05006666666666639,-0.08165416666666664,-2.212061111111105,0.824699999999988,5.378506944444442,3.0822763888888876,-0.30708055555555636,0.8521652777777882,1.2913055555555377,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.5681900222830336e-15,-7.320533068622126e-16,3.642919299551295e-16,-3.2959746043559335e-16,-9.766493169749424e-16,-7.632783294297951e-17,-1.0408340855860843e-16,-9.124645483638005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,1.3877787807814457e-16,0.0,0.0,-1.3513495877859327e-15,-3.0531133177191805e-16,-2.220446049250313e-16,-3.608224830031759e-16,3.3306690738754696e-16,-1.1102230246251565e-15,-1.5543122344752192e-15,-5.551115123125783e-17
2010-09-24,210.0,190.0,21.9,15.0,221.0,13.2,8.3,,,,,,1.2109999999999999,1.3519999999999999,1.6769999999999998,1.857,-0.804,-1.083,-1.24,-1.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23584166666666653,0.19079166666666655,-2.207520833333331,0.8026111111111097,5.358609722222211,3.0968111111111245,-0.3425847222222215,0.8525069444444546,1.2861791666666682,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.5681900222830336e-15,-7.320533068622126e-16,3.642919299551295e-16,-3.2959746043559335e-16,-9.766493169749424e-16,-7.632783294297951e-17,-1.0408340855860843e-16,-9.124645483638005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,1.3877787807814457e-16,0.0,0.0,-1.3513495877859327e-15,-3.0531133177191805e-16,-2.220446049250313e-16,-3.608224830031759e-16,3.3306690738754696e-16,-1.1102230246251565e-15,-1.5543122344752192e-15,-5.551115123125783e-17
